id,product_name,brand_name,short_description,original_price,price_after_voucher,discount_rate,discount_price,quantity_sold,rating_average,review_count,warranty_info,return_policy,url_img,date
274059475,Điện Thoại Samsung Galaxy S24 Ultra (12GB/256GB) - Hàng Chính Hãng,Samsung,"Điện thoại Samsung Galaxy S24 Ultra (SM-S928) Sản xuất tại Việt Nam*Nhãn phụ dán trên vỏ hộp thể hiện xuất xứ sản phẩm sản xuất tại Việt Nam, năm 2024 mới nhất. Lưu ý: năm sản xuất trên sản phẩm tùy...",33990000,25490000,25,8500000,4,5.0,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/fd/ec/09/be00751faf88d59f5722e0982a69887a.jpg,2024-11-29
276045770,Điện Thoại Samsung Galaxy A55 12GB/256GB - Hàng Chính Hãng,Samsung,"THÔNG SỐ KỸ THUẬTBộ vi xử lýTốc độ CP: 2.75GHz, 2GHzLoại CPU: 8 nhânHiển ThịKích cỡ (Màn hình chính): 168.3mm (6.6"""""""" hình chữ nhất hoàn chỉnh) / 163.7mm (6.4"""""""" tính đến các góc bo tròn)Độ phân gi...",11990000,11990000,0,0,0,0.0,0,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
276045754,Điện Thoại Samsung Galaxy A55 8GB/256GB - Hàng Chính Hãng,Samsung,"THÔNG SỐ KỸ THUẬTBộ vi xử lýTốc độ CP: 2.75GHz, 2GHzLoại CPU: 8 nhânHiển ThịKích cỡ (Màn hình chính): 168.3mm (6.6"""""""" hình chữ nhất hoàn chỉnh) / 163.7mm (6.4"""""""" tính đến các góc bo tròn)Độ phân gi...",10990100,10990100,0,0,0,5.0,1,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
275583785,Máy tính bảng Xiaomi Redmi Pad Pro 6GB/128GB - Hàng chính hãng,Xiaomi,"Thiết kế sang trọng, bền bỉRedmi Pad Pro ghi điểm nhờ ngôn ngữ thiết kế mặt lưng phẳng với bốn góc bo cong mềm mại mang đến vẻ đẹp hiện đại và sang trọng. Được chế tác từ kim loại và trải qua quá trì...",6490000,6490000,0,0,0,0.0,0,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
273990229,Điện Thoại Xiaomi Redmi Note 13 6GB/128GB - Hàng Chính Hãng,Xiaomi,"Điện Thoại Xiaomi Redmi Note 13 6GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.Màn hình hiển thị sắc nét, ấn tượng- Trang bị màn hình vớ...",4890000,3990000,18,900000,13,5.0,5,18 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/f7/c5/fd/1c7b2ece43d5f4ee30ba84e3dccbd21a.jpg,2024-11-29
139632023,"Máy đọc sách Kobo Libra (Libra Colour, Libra 2) - hàng nhập khẩu",Kobo,"Bản nâng cấp cập nhật của Kobo Libra H20 mới ra mắt, mở bán lần đầu trên thế giới ngày 20/10/2021 . Cùng với Kobo Sage,  phiên bản được mong chờ nhất cuối năm 2021.Chiếc máy đọc sách nào hoàn hảo cho...",5950000,5950000,0,0,1,5.0,1,1 Năm,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/7b/35/ec/1ed1e4a730c02101ef549c6b18fe5e6f.jpeg,2024-11-29
276045562,Điện Thoại Samsung Galaxy A35 8GB/256GB - Hàng Chính Hãng,Samsung,"THÔNG SỐ KỸ THUẬTBộ vi xử lýTốc độ CP: 2.4GHz, 2GHz Loại CPU: 8 nhânHiển ThịKích cỡ (Màn hình chính): 168.3mm (6.6"""""""" hình chữ nhất hoàn chỉnh) / 163.7mm (6.4"""""""" tính đến các góc bo tròn)Độ phân gi...",9289500,9289500,0,0,0,0.0,0,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
275042833,Apple iPad Pro M4 11-Inch Wi-Fi+ Cellular,Apple,"Nội dung quảng cáoiPad Pro mới mỏng xuất chúng, sở hữu hiệu năng vượt trội với chip Apple M4, màn hình Ultra Retina XDR đột phá cùng Wi-Fi 6E1 và 5G siêu nhanh.2 Khi kết hợp cùng Apple Pencil Pro và ...",34490000,31900000,8,2590000,2,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/bd/8c/36/ddfdf10bdf4b0905739753184144d56c.jpg,2024-11-29
273258830,Điện thoại Samsung Galaxy A05 (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,...,3037000,3037000,0,0,4,5.0,1,1 Năm,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/71/34/8b/b740d3aef6ae4294901eaa9c147dd600.png,2024-11-29
275778981,Điện thoại Tecno Pova 6 8GB/256GB - Hàng Chính Hãng,Tecno,...,6490000,5290000,18,1200000,12,5.0,4,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/70/4f/b2/233bae3da1791ad220480b9535bc50d1.png,2024-11-29
274904904,Máy tính bảng Samsung Galaxy Tab A9 Wifi / LTE (4GB/64GB) - Hàng chính hãng,Samsung,"Màn hình: TFT LCD 8.7"", (800 x 1340 pixels)Hệ điều hành: Android 13Camera sau: 8MPCamera trước: 2MPChipset: MediaTek Helio G99 8 nhânRAM: 4GBBộ nhớ trong: 64 GBCổng kết nối/sạc...",3990000,2699000,32,1291000,6,0.0,0,10 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/a4/c3/b2/f5b14ada6ff08513d4fccca33d791558.jpg,2024-11-29
275629952,Máy đọc sách Kindle Scribe kèm bút Kèm bút Premium - Hàng chính hãng,Kindle,"Đọc và viết tự nhiên như bạn vẫn làm với giấyVới màn hình 10.2 inch chống chói, độ phân giải 300ppi, Kindle Scribe hoàn hảo cho việc đọc và viết, ngay cả dưới ánh nắng. Màn hình lớn cho phép bạn ghi ...",12990000,11550000,11,1440000,3,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/ef/c8/36/93bf24a554f073871f82176876ae6918.png,2024-11-29
274610468,Điện thoại Samsung Galaxy S24 8GB/512GB - Độc quyền Online - Hàng chính hãng,Samsung, ĐẶC ĐIỂM NỔI BẬT[Tính năng AI nổi bật]Vi xử lý AI tân tiến.- Chỉ cần khoanh vùng là tìm kiếm được mọi thông tin.- Phiên dịch trực tiếp trong cuộc gọi xóa mọi rào cản ngôn ngữ- Tóm tắt n...,26490000,26490000,0,0,0,0.0,0,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
275761381,Điện thoại Samsung Galaxy S23 FE (8GB/256GB) - Hàng chính hãng,Samsung,"Màn hình: Dynamic AMOLED 2X, 6.4"", 1080 x 2340 pixels (FullHD+)Hệ điều hành: Android 13Camera sau: 50MP + 12MP + 8MPCamera trước: 10 MPChipset: Exynos 2200 8 nhânRAM: 8 GBBộ nhớ tron...",16890000,16890000,0,0,1,0.0,0,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/ba/dc/1f/880f6e76feb26c25550eba40735f1478.jpg,2024-11-29
273664463,Điện Thoại Oppo A18 4GB/128GB - Hàng Chính Hãng,OPPO,"Điện Thoại Oppo A18 4GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, sạc, cáp USB, dụng cụ lấy sim, sách hướng dẫn, vỏ bảo vệ.Màn hình lớn hiển thị tốt hơn- Với màn hình IPS LCD rộng 6.56...",3990000,3990000,0,0,0,5.0,2,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
270495179,Điện thoại Oppo A78 (8GB/256GB) - Hàng chính hãng,OPPO,"Màn hình: AMOLED 6.4"", Full HD+ (1080 x 2400 Pixels)Hệ điều hành: Android 13Camera sau: 50 MP + 2 MPCamera trước: 32 MPChipset: Qualcomm Snapdragon 680, tối đa 2.4GHzRAM: 8 GBBộ n...",6990000,6990000,0,0,1,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/89/da/8c/42f64d80725ca3f2a72f9d64dd49916c.jpg,2024-11-29
275773755,Điện thoại Xiaomi Redmi Note 13 Pro 5G - Hàng Chính Hãng,Xiaomi,"       Xiaomi Redmi Note 13 Pro 5G khi mới xuất hiện đã ngay lập tức thu hút sự chú ý, nhờ vào việc tích hợp chip Snapdragon 7s Gen 2 và camera 200 MP. Những đặc điểm này không chỉ làm cho sản phẩ...",9490000,8690000,8,800000,2,5.0,1,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/08/83/b0/550006e0efe493f89cfba2067bf17fae.jpg,2024-11-29
273454566,Điện thoại Xiaomi POCO C65 (6GB/128GB) - Helio G85 - Màn 90HZ - Hàng chính hãng,Xiaomi,"Vừa qua, POCO đã ra mắt chiếc POCO C65 – mẫu điện thoại giá rẻ mới tại thị trường Việt Nam.POCO C65 sở hữu nhiều điểm nổi bật trong phân khúc như màn hình tần số quét cao, thời lượng pin tốt cùng chip...",3290000,2729000,17,561000,15,4.5,4,18 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/33/5c/ef/e0adbcaa938fd5fc663b04e32785d356.jpg,2024-11-29
