id,product_name,brand_name,original_price,price_after_voucher,discount_rate,discount_price,rating_average,review_count,warranty_info,return_policy,date,quantity_sold,quantity_sold_by_day,sale_by_day
178311123,Điện thoại Panasonic KX-TGD310CX - Hàng chính hãng,Panasonic,1199000,1199000,0,0,5.0,1,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,12,0,0
276181205,Sạc Nhanh Nhỏ Gọn Baseus Super Si Pro Quick Charger C+U 30W - Hàng Chính Hãng ,Baseus,441000,441000,0,0,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
276079479,Điện thoại OPPO A3x 4GB/128GB - Hàng Chính Hãng,OPPO,3990000,3790500,5,199500,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
249169833,Điện thoại Samsung Galaxy A34 5G 8GB/128GB Đen - Hàng chính hãng,Samsung,7164000,7164000,0,0,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
275773550,Điện thoại vivo Y18 - Hàng Chính Hãng,Vivo,4490000,4265500,5,224500,0.0,0,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
276257720,Máy tính bảng SAMSUNG Galaxy Tab S10 Ultra 256GB - Hàng chính hãng,Samsung,33990000,33990000,0,0,0.0,0,No warranty info,No return policy,2024-11-26,0,0,0
25949745,Máy Đọc Sách Kindle Oasis (10th Gen) 2019- 8GB - Hàng Chính Hãng,Kindle,6200000,6200000,0,0,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,3,0,0
251448280,Samsung Galaxy A34 5G A346E (8+128G) Silver Bạc - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,7164000,7164000,0,0,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
271329051,"Máy tính bảng Kindle Fire MAX 11, màn hình 11 inch, RAM 4GB, CPU Octa-core 2.2Ghz, bộ nhớ 64/128GB - Hàng chính hãng",Kindle,5100000,5100000,0,0,5.0,2,6 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,4,0,0
275773881,Điện thoại realme Note 50 64GB - Hàng Chính Hãng,Realme,2490000,2390000,4,100000,0.0,0,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
276079477,Điện thoại OPPO Reno 12 5G 12GB/256GB Hồng - Hàng Chính Hãng,OPPO,12990000,12340500,5,649500,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
275044287,"Máy tính bảng siêu bền Ulefone Armor Pad 3 Pro (Pin 33280 mAh,chống nước,chống va đập,RAM 16GB (8+8), ROM 256GB ,camera 50MP,Màn hình 10.36 Inch)-hàng chính hãng",Ulefone,9990000,9990000,0,0,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
275774445,Máy tính bảng OPPO Pad Air WiFi 4GB/64GB - Hàng Chính Hãng,OPPO,5490000,5390000,2,100000,0.0,0,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
206218031,Máy tính bảng viết tay Xiaomi Wicue màn hình LCD màu cầu vồng không đèn nền 12inch,Xiaomi,768000,459000,40,309000,0.0,0,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
274516951,"Điện thoại Masstel izi 16 4G(LTE) , Bàn phím nổi, FM không dây - Hàng chính hãng",Masstel,569000,459000,19,110000,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,8,0,0
248929458,Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,Samsung,7164000,7164000,0,0,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
275773439,Điện thoại Xiaomi Redmi A3 (3GB/64GB) - Hàng Chính Hãng,Xiaomi,2490000,2390000,4,100000,0.0,0,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
275775850,Điện thoại OPPO A58 8GB - Hàng Chính Hãng,OPPO,5490000,5215500,5,274500,0.0,0,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
275773400,Điện thoại realme C53 (8GB/256GB) - Hàng Chính Hãng,Realme,4790000,4790000,0,0,0.0,0,No warranty info,No return policy,2024-11-26,0,0,0
274840120,Máy tính bảng Samsung Galaxy Tab S9 FE+ (WiFi) 8GB/128G - Hàng chính hãng,Samsung,13989800,13989800,0,0,0.0,0,No warranty info,No return policy,2024-11-26,0,0,0
275774747,Xiaomi Redmi 13 (8+128G) - Hàng Chính Hãng,Xiaomi,4690000,4490000,4,200000,5.0,1,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,2024-11-26,2,0,0
271234313,Điện Thoại Nokia 110 4G Pro - Hàng Chính Hãng,Nokia,780000,780000,0,0,4.8,4,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,9,0,0
197214029,Apple iPhone 14,Apple,24990000,16850000,33,8140000,5.0,156,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,639,0,0
276032854,Điện thoại Realme Note 60 ( 4GB/64GB) - Hàng Chính Hãng,Realme,3090000,2450000,21,640000,4.3,3,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,19,0,0
275618841,Điện thoại Realme Note 50 4GB/128GB - Hàng chính hãng,Realme,2890000,2490000,14,400000,5.0,7,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,28,0,0
271967379,Apple iPhone 15 Plus,Apple,25990000,22490000,13,3500000,4.8,42,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,271,0,0
274946446,Điện Thoại POCO X6 5G (8GB/256GB) - Hàng Chính Hãng,POCO,8490000,6750000,20,1740000,4.8,6,18 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,33,2,13500000
275588494,Máy tính bảng 10.1 inch TEKKIN TI-8020 cpu 4 nhân 2.0ghz ram 8gb 64gb tặng bao da - hàng nhập khẩu,TEKKIN,1750000,1750000,0,0,0.0,0,6 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,5,0,0
275915202,Điện thoại Vivo Y18s ( 6GB/128GB) - Hàng Chính Hãng,Vivo,4190000,3490000,17,700000,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,8,0,0
274959118,Điện thoại Tecno POVA 5 8GB/128GB  Hàng Chính Hãng,Tecno,3790000,3790000,0,0,5.0,13,No warranty info,No return policy,2024-11-26,0,0,0
274536294,Máy đọc sách Kindle Paperwhite 5 (16GB) - Đen - KHÔNG QUẢNG CÁO - Hàng chính hãng,Kindle,4220000,4220000,0,0,5.0,12,No warranty info,No return policy,2024-11-26,0,0,0
274405521,Điện Thoại Samsung A05 4GB/64GB - Hàng Chính Hãng,Samsung,2990000,2699000,10,291000,5.0,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,27,0,0
274069052,Điện Thoại Xiaomi Redmi Note 12 Pro 4G 8GB/256GB - Hàng Chính Hãng,Xiaomi,7990000,5490000,31,2500000,5.0,16,18 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,825,0,0
276166741,Điện thoại Tecno SPARK GO 1 ( 4GB - 64GB) - Hàng Chính Hãng,Tecno,2490000,2150000,14,340000,5.0,5,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,22,0,0
273610368,Điện Thoại Samsung Galaxy A25 5G (6GB/128GB) - Hàng chính hãng,Samsung,6590000,5450000,17,1140000,5.0,19,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,1564,0,0
271966786,Apple iPhone 15,Apple,22490000,19490000,13,3000000,5.0,100,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,520,0,0
275571989,Điện thoại Samsung Galaxy Z Flip6 (12GB/ 256GB) - Hàng Chính Hãng,Samsung,28990000,23990000,17,5000000,5.0,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,35,0,0
276158234,Điện thoại Itel it9211 - Hàng Chính Hãng,Itel,490000,450000,8,40000,4.0,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,110,0,0
276161888,Điện thoại Tecno Pova 6 Neo (8GB 128GB) - Hàng Chính Hãng,Tecno,4590000,3790000,17,800000,5.0,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,17,0,0
276290869,Điện thoại Samsung Galaxy M34 5G (8GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng,Samsung,5690000,5690000,0,0,5.0,5,No warranty info,No return policy,2024-11-26,0,0,0
274959691,Điện thoại Tecno SPARK 20 Pro+ 8GB/256GB - Hàng chính hãng,Tecno,4550000,4290000,6,260000,5.0,16,13 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,60,1,4290000
276102293,Điện thoại Xiaomi Redmi 14C (4GB/128GB) - Hàng chính hãng,Xiaomi,3290000,2790000,15,500000,5.0,1,18 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,21,0,0
276091995,Điện Thoại Samsung Galaxy A25 5G (8GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng,Samsung,6990000,5390000,23,1600000,4.7,3,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,11,0,0
276043797,Điện thoại Xiaomi Redmi A3 (3GB/64GB) - Hàng Chính Hãng,Xiaomi,2280000,2280000,0,0,5.0,1,No warranty info,No return policy,2024-11-26,0,0,0
209927605,Combo máy đọc sách Kindle 2022 (11th) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,Kindle,3356000,3356000,0,0,4.8,28,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,134,0,0
200819471,"Điện thoại Mobell Rock 4 4G , Pin 3250mah , Loa Siêu lớn - Hàng chính hãng",Mobell,799000,799000,0,0,4.2,6,No warranty info,No return policy,2024-11-26,0,0,0
275386649,Điện Thoại Nokia 3210 4G - Hàng Chính Hãng,Nokia,1590000,1590000,0,0,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,1,0,0
181928208,Điện thoại bàn Panasonic KX-TGC310 hàng chính hãng,Panasonic,1050000,1050000,0,0,5.0,7,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,50,0,0
275386982,Điện Thoại Nokia 220 4G - Hàng Chính Hãng,Nokia,990000,990000,0,0,5.0,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,11,0,0
276285657,Máy tính bảng Masstel Tab 8.3 ( 3GB - 32GB) - Hàng Chính Hãng,Masstel,1590000,950000,40,640000,3.3,3,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,8,0,0
246163082,Điện Thoại Nokia C30 2GB/32GB - Hàng Chính Hãng,Nokia,2290000,2290000,0,0,4.5,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,13,1,2290000
275510579,Điện thoại OPPO Reno12F 5G (8GB/256GB) - Hàng Chính Hãng,OPPO,9490000,8690000,8,800000,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,11,0,0
275496965,Máy đọc sách Boox Go Color 7- Đen - Hàng chính hãng,Onyx Boox,7200000,7200000,0,0,5.0,6,No warranty info,No return policy,2024-11-26,0,0,0
181927774,Điện thoại bàn Panasonic KX-TGD310 hàng chính hãng,Panasonic,1190000,1190000,0,0,4.8,8,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,23,0,0
4048043,Điện Thoại Bàn Panasonic KX-TS500 - Hàng Chính Hãng,Panasonic,359000,329000,8,30000,4.5,25,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,314,0,0
164213695,Điện thoại bàn Panasonic KX-TGB110 hàng chính hãng,Panasonic,830000,830000,0,0,5.0,17,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,66,0,0
242434782,Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng nhập khẩu,Kindle,3290000,3050000,7,240000,5.0,13,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,61,0,0
247427990,Máy đọc sách Kindle 2022 (11th) Kids Edition kèm bao da chính hãng và tài khoản Free Kid+ 1 năm - Hàng nhập khẩu,Kindle,2990000,2990000,0,0,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,7,0,0
276290046,Điện thoại Vivo Y03T ( 4GB/128GB) - Hàng Chính Hãng,Vivo,2990000,2650000,11,340000,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,56,0,0
274560616,"Máy tính bảng học tập thông minh Nexta Edutab Kid cho bé từ 5-8 tuổi - quản lý thời gian cho trẻ - 1 đổi 1 trong vòng 30 ngày, bảo hành 12 tháng",Nexta,3990000,2990000,25,1000000,5.0,3,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,6,0,0
252586291,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,Kindle,3990000,3990000,0,0,5.0,105,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,513,0,0
275492145,Máy đọc sách Boox Go 10.3 - Hàng chính hãng,Onyx Boox,14390000,11090000,23,3300000,4.7,7,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,29,1,11090000
275206906,Điện thoại Tecno Camon 30 (8GB/256GB) - Hàng Chính Hãng,Tecno,6490000,5250000,19,1240000,4.7,11,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,24,0,0
274638430,"Điện thoại Redmi Note 13R 5G 4GB/128GB Dimensity 6100+ , Màn 90Hz , Rom quốc tế có sẳn Tiếng việt - Hàng nhập khẩu",Xiaomi,3590000,2659000,26,931000,5.0,3,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,18,0,0
